item_id,name,sku,size,price
4055341268943,Футбольные бутсы (для тверд.п.),AF5145,41,5390
4055341269087,Футбольные бутсы (для тверд.п.),AF5145,42,5390
4055341269018,Футбольные бутсы (для тверд.п.),AF5145,43,5390
4055341269001,Футбольные бутсы (для тверд.п.),AF5145,44,5390
4055341210874,Футбольные бутсы (шиповки) муж.,AF5295,40,5390
4055341210966,Футбольные бутсы (шиповки) муж.,AF5295,41,5390
4055341210911,Футбольные бутсы (шиповки) муж.,AF5295,42,5390
4055341210942,Футбольные бутсы (шиповки) муж.,AF5295,42.5,5390
4055341210881,Футбольные бутсы (шиповки) муж.,AF5295,43,5390
4055341210850,Футбольные бутсы (шиповки) муж.,AF5295,44,5390
4055341026215,Футбольная обувь (для зала) муж.,AF5297,41,5390
4055341026185,Футбольная обувь (для зала) муж.,AF5297,42,5390
4055341026161,Футбольная обувь (для зала) муж.,AF5297,43,5390
4055341448970,Кроссовки для бега муж.,AF5340,40.5,3990
4055341449106,Кроссовки для бега муж.,AF5340,41,3990
4055341449120,Кроссовки для бега муж.,AF5340,42,3990
4055341449076,Кроссовки для бега муж.,AF5340,42.5,3990
4055341449021,Кроссовки для бега муж.,AF5340,43,3990
4055341448987,Кроссовки для бега муж.,AF5340,44,3990
4055341245166,Кроссовки муж.,AF5464,41,6390
4055341245128,Кроссовки муж.,AF5464,42,6390
4055341245142,Кроссовки муж.,AF5464,42.5,6390
4055341245265,Кроссовки муж.,AF5464,43,6390
4055341245159,Кроссовки муж.,AF5464,44.5,6390
4055341252133,Кроссовки для бега жен.,AF5569,37,3990
4055341211888,Кроссовки для бега жен.,AF5569,37.5,3990
4055341211833,Кроссовки для бега жен.,AF5569,38.5,3990
4055341211802,Кроссовки для бега жен.,AF5569,39,3990
4055344667538,Кроссовки жен.,AF5871,36.5,4990
4055344667576,Кроссовки жен.,AF5871,38.5,4990
4055344667491,Кроссовки жен.,AF5871,39,4990
4055344671900,Кроссовки жен.,AF5873,37.5,4990
4055344671931,Кроссовки жен.,AF5873,38.5,4990
4055341257336,Кроссовки жен.,AF5875,36.5,5390
4055341257282,Кроссовки жен.,AF5875,37,5390
4055341257374,Кроссовки жен.,AF5875,37.5,5390
4055341257312,Кроссовки жен.,AF5875,38,5390
4055341257275,Кроссовки жен.,AF5875,38.5,5390
4055341257343,Кроссовки жен.,AF5875,39,5390
4055344771457,Кроссовки жен.,AF5882,38,3990
4055344975596,#CСандалии дет. спорт.,AF6132,19,2990
4055344975558,#CСандалии дет. спорт.,AF6132,20,2990
4055344975602,#CСандалии дет. спорт.,AF6132,21,2990
4055344975572,#CСандалии дет. спорт.,AF6132,21.5,2990
4055344975534,#CСандалии дет. спорт.,AF6132,22,2990
